PrimaryKey,Structure,CityName
Hanson2016_1236,Acropolis,Lurnfelde
Hanson2016_1236,Basilica,Lurnfelde
Hanson2016_1236,Baths,Lurnfelde
Hanson2016_1236,Forum,Lurnfelde
Hanson2016_1236,Temple,Lurnfelde
Hanson2016_1236,Temple of Apollo Grannus,Lurnfelde
Hanson2016_1236,Urban grid,Lurnfelde
Hanson2016_1237,Amphitheatre,Zollfeld
Hanson2016_1237,Baths,Zollfeld
Hanson2016_1237,Forum,Zollfeld
Hanson2016_1237,Temple ('capitolium'),Zollfeld
Hanson2016_1237,Temple of Jupiter Dolichenus,Zollfeld
Hanson2016_1237,Theatre,Zollfeld
Hanson2016_1237,Urban grid,Zollfeld
Hanson2016_1238,Aqueduct,Medeina
Hanson2016_1238,Arch of Hadrian,Medeina
Hanson2016_1238,Capitolium,Medeina
Hanson2016_1238,Forum,Medeina
Hanson2016_1238,Fountain,Medeina
Hanson2016_1238,Sanctuary of Baal Hammon,Medeina
Hanson2016_1238,Temple,Medeina
Hanson2016_1238,Temple,Medeina
Hanson2016_1238,Theatre,Medeina
Hanson2016_1239,Aqueduct,Haidra
Hanson2016_1239,Arch,Haidra
Hanson2016_1239,Arch,Haidra
Hanson2016_1239,Baths (Winter),Haidra
Hanson2016_1239,Bridge,Haidra
Hanson2016_1239,Fort,Haidra
Hanson2016_1239,Forum,Haidra
Hanson2016_1239,Market,Haidra
Hanson2016_1239,Temple,Haidra
Hanson2016_1239,Temple ('capitolium'),Haidra
Hanson2016_1239,Theatre,Haidra
Hanson2016_1240,Arch,Henchir Zenfour
Hanson2016_1240,Temple,Henchir Zenfour
Hanson2016_1240,Theatre,Henchir Zenfour
Hanson2016_1241,Amphitheatre,Hammam Darradji
Hanson2016_1241,Aqueduct,Hammam Darradji
Hanson2016_1241,Arch,Hammam Darradji
Hanson2016_1241,Basilica?,Hammam Darradji
Hanson2016_1241,Baths (East of Theatre),Hammam Darradji
Hanson2016_1241,Baths (Large),Hammam Darradji
Hanson2016_1241,Baths (North-East),Hammam Darradji
Hanson2016_1241,Baths (North-West of Theatre),Hammam Darradji
Hanson2016_1241,Baths of Iulia Memmia,Hammam Darradji
Hanson2016_1241,Baths of Venantii,Hammam Darradji
Hanson2016_1241,Forum,Hammam Darradji
Hanson2016_1241,Forum,Hammam Darradji
Hanson2016_1241,Macellum,Hammam Darradji
Hanson2016_1241,Nymphaeum,Hammam Darradji
Hanson2016_1241,Tabularium,Hammam Darradji
Hanson2016_1241,Temple ('capitolium'),Hammam Darradji
Hanson2016_1241,Temple (Twin),Hammam Darradji
Hanson2016_1241,Temple (Twin),Hammam Darradji
Hanson2016_1241,Temple of Apollo,Hammam Darradji
Hanson2016_1241,Temple of Diana,Hammam Darradji
Hanson2016_1241,Temple of Isis,Hammam Darradji
Hanson2016_1241,Theatre,Hammam Darradji
Hanson2016_1241,Urban grid,Hammam Darradji
Hanson2016_1242,Aqueduct,Guelma
Hanson2016_1242,Baths,Guelma
Hanson2016_1242,Forum,Guelma
Hanson2016_1242,Fountain,Guelma
Hanson2016_1242,Temple of Neptune,Guelma
Hanson2016_1242,Theatre,Guelma
Hanson2016_1244,Aqueduct,Constantine
Hanson2016_1244,Aqueduct,Constantine
Hanson2016_1244,Aqueduct,Constantine
Hanson2016_1244,Arch,Constantine
Hanson2016_1244,Baths,Constantine
Hanson2016_1244,Capitolium,Constantine
Hanson2016_1244,Nymphaeum,Constantine
Hanson2016_1244,Sanctuary of Saturn,Constantine
Hanson2016_1244,Temple,Constantine
Hanson2016_1244,Temple,Constantine
Hanson2016_1244,Temple of Baal Hammon / Saturn,Constantine
Hanson2016_1244,Theatre,Constantine
Hanson2016_1244,Walls,Constantine
Hanson2016_1246,Aqueduct,Annaba
Hanson2016_1246,Baths,Annaba
Hanson2016_1246,Baths (North),Annaba
Hanson2016_1246,Baths (South),Annaba
Hanson2016_1246,Curia,Annaba
Hanson2016_1246,Forum,Annaba
Hanson2016_1246,Forum,Annaba
Hanson2016_1246,Fountain,Annaba
Hanson2016_1246,Macellum,Annaba
Hanson2016_1246,Macellum,Annaba
Hanson2016_1246,Temple,Annaba
Hanson2016_1246,Temple,Annaba
Hanson2016_1246,Temple ('capitolium'),Annaba
Hanson2016_1246,Theatre,Annaba
Hanson2016_1246,Walls,Annaba
Hanson2016_1247,Amphitheatre,Tazzoult
Hanson2016_1247,Aqueduct,Tazzoult
Hanson2016_1247,Aqueduct,Tazzoult
Hanson2016_1247,Aqueduct,Tazzoult
Hanson2016_1247,Aqueduct,Tazzoult
Hanson2016_1247,Arch,Tazzoult
Hanson2016_1247,Arch,Tazzoult
Hanson2016_1247,Basilica,Tazzoult
Hanson2016_1247,Baths,Tazzoult
Hanson2016_1247,Baths,Tazzoult
Hanson2016_1247,Baths (Chasseurs),Tazzoult
Hanson2016_1247,Capitolium,Tazzoult
Hanson2016_1247,Fort,Tazzoult
Hanson2016_1247,Fort,Tazzoult
Hanson2016_1247,Fountain,Tazzoult
Hanson2016_1247,Sanctuary,Tazzoult
Hanson2016_1247,Septizodium,Tazzoult
Hanson2016_1247,Temple,Tazzoult
Hanson2016_1247,Temple (Semi-Circular),Tazzoult
Hanson2016_1248,Arch,Khirbet Ouled Arif
Hanson2016_1248,Fort,Khirbet Ouled Arif
Hanson2016_1248,Walls,Khirbet Ouled Arif
Hanson2016_1249,Fort,Henchir Lorbeus
Hanson2016_1249,Walls,Henchir Lorbeus
Hanson2016_1250,Aqueduct,Madaurouch
Hanson2016_1250,Arch,Madaurouch
Hanson2016_1250,Arch,Madaurouch
Hanson2016_1250,Arch,Madaurouch
Hanson2016_1250,Arch,Madaurouch
